away_team_name,half_time,tournament_link,full_time,date,home_possession,home_team_link,away_pass_success,away_shots_on_target,home_dribbles_won,home_team_name,away_shots,home_shots_on_target,away_team_link,match_report_link,away_aerial_duel_success,kick_off,away_dribbles_won,match_link,home_tackles,tournament_name,away_possession,country,home_aerial_duel_success,home_shots,away_tackles,home_pass_success
Crystal Palace,0 : 0,/Regions/252/Tournaments/2/Seasons/3853,0 : 1,"Sat, 23-Nov-13",62%,/Teams/214,66%,2,8,Hull,9,2,/Teams/162,https://www.whoscored.com/Matches/720171/MatchReport/England-Premier-League-2013-2014-Hull-Crystal-Palace,58%,15:00,6,https://www.whoscored.com/Matches/720171/Live,18,Premier League - 2013/2014,38%,England,42%,15,13,75%
Sunderland,1 : 0,/Regions/252/Tournaments/2/Seasons/3853,2 : 0,"Sat, 23-Nov-13",50%,/Teams/96,85%,3,6,Stoke,11,5,/Teams/16,https://www.whoscored.com/Matches/720180/MatchReport/England-Premier-League-2013-2014-Stoke-Sunderland,35%,15:00,8,https://www.whoscored.com/Matches/720180/Live,15,Premier League - 2013/2014,50%,England,65%,17,6,83%
Burnley,0 : 2,/Regions/252/Tournaments/7/Seasons/3859/Stages/7800,1 : 2,"Sat, 10-Aug-13",55%,/Teams/25,62%,4,12,Sheff Wed,15,6,/Teams/184,https://www.whoscored.com/Matches/720173/MatchReport/England-Championship-2013-2014-Sheffield-Wednesday-Burnley,63%,15:00,3,https://www.whoscored.com/Matches/720173/Live,11,Championship - 2013/2014 - Championship,45%,England,37%,20,22,70%
Norwich,2 : 0,/Regions/252/Tournaments/2/Seasons/3853,2 : 1,"Sat, 23-Nov-13",49%,/Teams/23,76%,2,12,Newcastle,10,5,/Teams/168,https://www.whoscored.com/Matches/720177/MatchReport/England-Premier-League-2013-2014-Newcastle-United-Norwich,53%,15:00,5,https://www.whoscored.com/Matches/720177/Live,17,Premier League - 2013/2014,51%,England,47%,21,18,84%
Man Utd,1 : 2,/Regions/252/Tournaments/2/Seasons/3853,2 : 2,"Sun, 24-Nov-13",50%,/Teams/188,80%,5,8,Cardiff,16,4,/Teams/32,https://www.whoscored.com/Matches/720163/MatchReport/England-Premier-League-2013-2014-Cardiff-Manchester-United,56%,16:00,3,https://www.whoscored.com/Matches/720163/Live,20,Premier League - 2013/2014,50%,England,44%,14,22,76%
