tournament_name,tournament_link,country,match_link,match_report_link,date,kick_off,home_team_name,away_team_name,full_time,half_time,home_team_link,away_team_link,home_shots,home_shots_on_target,home_possession,home_pass_success,home_tackles,home_aerial_duel_success,home_dribbles_won,away_shots,away_shots_on_target,away_possession,away_pass_success,away_tackles,away_aerial_duel_success,away_dribbles_won
Premier League - 2013/2014,/Regions/252/Tournaments/2/Seasons/3853,England,https://www.whoscored.com/Matches/720171/Live,https://www.whoscored.com/Matches/720171/MatchReport/England-Premier-League-2013-2014-Hull-Crystal-Palace,"Sat, 23-Nov-13",15:00,Hull,Crystal Palace,0 : 1,0 : 0,/Teams/214,/Teams/162,15,2,62%,75%,18,42%,8,9,2,38%,66%,13,58%,6
Premier League - 2013/2014,/Regions/252/Tournaments/2/Seasons/3853,England,https://www.whoscored.com/Matches/720180/Live,https://www.whoscored.com/Matches/720180/MatchReport/England-Premier-League-2013-2014-Stoke-Sunderland,"Sat, 23-Nov-13",15:00,Stoke,Sunderland,2 : 0,1 : 0,/Teams/96,/Teams/16,17,5,50%,83%,15,65%,6,11,3,50%,85%,6,35%,8
Championship - 2013/2014 - Championship,/Regions/252/Tournaments/7/Seasons/3859/Stages/7800,England,https://www.whoscored.com/Matches/720173/Live,https://www.whoscored.com/Matches/720173/MatchReport/England-Championship-2013-2014-Sheffield-Wednesday-Burnley,"Sat, 10-Aug-13",15:00,Sheff Wed,Burnley,1 : 2,0 : 2,/Teams/25,/Teams/184,20,6,55%,70%,11,37%,12,15,4,45%,62%,22,63%,3
Premier League - 2013/2014,/Regions/252/Tournaments/2/Seasons/3853,England,https://www.whoscored.com/Matches/720177/Live,https://www.whoscored.com/Matches/720177/MatchReport/England-Premier-League-2013-2014-Newcastle-United-Norwich,"Sat, 23-Nov-13",15:00,Newcastle,Norwich,2 : 1,2 : 0,/Teams/23,/Teams/168,21,5,49%,84%,17,47%,12,10,2,51%,76%,18,53%,5
Premier League - 2013/2014,/Regions/252/Tournaments/2/Seasons/3853,England,https://www.whoscored.com/Matches/720163/Live,https://www.whoscored.com/Matches/720163/MatchReport/England-Premier-League-2013-2014-Cardiff-Manchester-United,"Sun, 24-Nov-13",16:00,Cardiff,Man Utd,2 : 2,1 : 2,/Teams/188,/Teams/32,14,4,50%,76%,20,44%,8,16,5,50%,80%,22,56%,3
